City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,el granada,37.5027,-122.4694,27.18,77,40,6.69,US,1690395558
228,prado,-17.3411,-39.2208,24.19,67,14,3.16,BR,1690395321
229,piton saint-leu,-21.2196,55.3151,19.06,88,100,2.06,RE,1690395559
230,masterton,-40.9597,175.6575,4.42,96,79,2.41,NZ,1690395284
231,bima,-8.4667,118.7167,21.66,91,62,1.82,ID,1690395559
232,kuala kangsar,4.7667,100.9333,27.51,97,100,0.7,MY,1690395559
233,lautoka,-17.6167,177.4667,19.92,94,75,3.09,FJ,1690395560
234,tura,25.5198,90.2201,23.9,97,100,2.21,IN,1690395454
235,longyearbyen,78.2186,15.6401,12.91,58,20,6.17,SJ,1690395274
236,new norfolk,-42.7826,147.0587,10.49,93,100,1.34,AU,1690395560
237,warmbad,-28.45,18.7333,11.4,54,0,5.26,NA,1690395561
238,forster,-32.1667,152.5167,10.29,89,2,2.34,AU,1690395561
239,hotan,37.0997,79.9269,29.14,27,4,3.23,CN,1690395561
240,gorredijk,53.0066,6.064,18.34,73,38,4.75,NL,1690395562
241,antonio enes,-16.2325,39.9086,21.31,72,7,4.29,MZ,1690395562
242,soe,-9.8607,124.284,14.31,94,40,1.94,ID,1690395563
243,villa ojo de agua,-29.5,-63.6938,17.21,34,20,7.47,AR,1690395563
244,vangviang,18.9333,102.45,24.5,98,61,0.78,LA,1690395538
245,saulkrasti,57.2622,24.4147,17.11,76,50,4.37,LV,1690395564
246,lebu,-37.6167,-73.65,10.45,74,100,1.96,CL,1690395564
247,bentiu,9.2333,29.8333,22.06,97,100,4.13,SS,1690395565
248,phan thiet,10.9333,108.1,25.3,91,84,4.08,VN,1690395565
249,koungou,-12.7336,45.2042,24.84,78,20,1.54,YT,1690395566
250,cherdyn',60.403,56.4787,14.13,83,88,1.78,RU,1690395569
251,ulsteinvik,62.3432,5.8487,18.28,89,59,1.34,NO,1690395397
252,namibe,-15.1961,12.1522,17.69,83,67,3.01,AO,1690395440
253,hopelchen,19.7667,-89.85,37.65,31,63,2.77,MX,1690395570
254,vilyuchinsk,52.9306,158.4028,13.15,84,89,1.39,RU,1690395570
255,steinbach,50.1667,8.5667,20.36,60,0,2.06,DE,1690395571
256,digras,20.1167,77.7167,26.83,84,100,5.41,IN,1690395376
257,rio preto da eva,-2.6994,-59.6997,37.72,26,3,1.99,BR,1690395571
258,whitehorse,60.7161,-135.0538,17.12,77,75,1.03,CA,1690395572
259,ust-nera,64.5667,143.2,10.75,88,93,3.75,RU,1690395572
260,queenstown,-31.8976,26.8753,14.74,49,17,2.54,ZA,1690395573
261,glace bay,46.1969,-59.957,28.97,55,75,5.14,CA,1690395573
262,villa literno,41.0099,14.0805,26.09,76,20,5.14,IT,1690395573
263,aras-asan,8.8908,126.3033,25.95,87,100,3.0,PH,1690395573
264,santa barbara,34.7333,-120.0343,29.57,38,0,3.09,US,1690395573
265,vadso,70.0744,29.7487,11.49,93,100,2.57,NO,1690395481
266,esil,51.9556,66.4042,16.67,88,27,0.64,KZ,1690395574
267,narasannapeta,18.4167,84.05,27.36,90,97,3.91,IN,1690395574
268,hithadhoo,-0.6,73.0833,28.55,78,42,7.63,MV,1690395574
269,necochea,-38.5473,-58.7368,11.24,78,15,9.4,AR,1690395542
270,lashio,22.9333,97.75,20.79,97,68,0.72,MM,1690395575
271,needham,42.2834,-71.2328,31.81,54,0,4.63,US,1690395575
272,lewistown,40.5992,-77.5714,31.1,54,0,2.57,US,1690395576
273,brisas de zicatela,15.8369,-97.0419,32.29,55,20,4.12,MX,1690395576
274,santana,-0.0583,-51.1817,32.1,66,40,4.63,BR,1690395505
275,brookings,44.3114,-96.7984,33.92,59,0,4.12,US,1690395480
276,vila velha,-20.3297,-40.2925,25.97,73,0,4.63,BR,1690395577
277,san patricio,28.017,-97.5169,37.97,37,0,7.1,US,1690395457
278,qurayyat,31.3318,37.3428,34.1,11,0,4.12,SA,1690395577
279,bel ombre,-4.6167,55.4167,25.91,83,40,5.66,SC,1690395578
280,ar ruways,24.1103,52.7306,34.34,64,79,3.77,AE,1690395578
281,seaford,50.7714,0.1027,16.88,86,98,4.18,GB,1690395310
282,talara,-4.5772,-81.2719,28.42,54,0,6.69,PE,1690395578
283,lerwick,60.1545,-1.1494,13.0,74,42,4.4,GB,1690395578
284,las heras,-46.5419,-68.9359,2.36,47,100,2.03,AR,1690395579
285,portales,34.1862,-103.3344,37.96,18,26,6.41,US,1690395579
286,westport,41.1415,-73.3579,32.31,61,0,3.09,US,1690395579
287,ambovombe,-25.1667,46.0833,18.79,56,8,7.57,MG,1690395580
288,island harbour,50.724,-1.2758,17.18,93,100,3.13,GB,1690395580
289,isangel,-19.55,169.2667,20.23,73,62,6.7,VU,1690395580
290,port lincoln,-34.7333,135.8667,12.84,53,0,6.02,AU,1690395580
291,sambava,-14.2667,50.1667,21.85,82,54,6.44,MG,1690395581
292,yaren,-0.5472,166.916,27.98,78,99,4.46,NR,1690395492
293,wakuya,38.5333,141.1333,23.01,86,3,1.63,JP,1690395581
294,arno,60.1167,18.6333,17.35,60,92,5.0,SE,1690395582
295,el calafate,-50.3408,-72.2768,-1.47,74,22,0.24,AR,1690395515
296,urangan,-25.3,152.9,19.09,63,21,6.69,AU,1690395582
297,powell,40.1578,-83.0752,32.58,60,20,9.77,US,1690395583
298,markovo,57.3206,107.0881,16.23,97,99,1.06,RU,1690395583
299,trairi,-3.2778,-39.2689,29.93,54,10,7.2,BR,1690395583
300,umba,66.6871,34.3429,12.08,89,29,2.66,RU,1690395583
301,noyabrsk,63.1994,75.4507,19.56,67,56,2.46,RU,1690395353
302,paka,4.6374,103.4368,24.65,100,93,0.0,MY,1690395449
303,east london,-33.0153,27.9116,14.52,82,0,0.51,ZA,1690395584
304,murun-kuren,49.6342,100.1625,13.47,71,50,1.71,MN,1690395588
305,bu'aale,1.0833,42.5833,24.32,70,77,5.5,SO,1690395588
306,pingshan,22.9938,114.7131,28.22,75,60,1.51,CN,1690395589
307,antigonish,45.6169,-61.9986,28.41,76,97,0.45,CA,1690395589
308,cockburn town,21.4612,-71.1419,28.67,80,53,9.04,TC,1690395458
309,xiongzhou,25.1167,114.3,26.16,87,57,1.71,CN,1690395589
310,amga,60.8953,131.9608,12.35,87,29,1.08,RU,1690395590
311,hats'avan,39.4641,45.9705,14.86,89,7,2.47,AM,1690395590
312,savonlinna,61.8699,28.88,17.03,94,0,1.03,FI,1690395590
313,mar del plata,-38.0023,-57.5575,13.38,79,75,8.23,AR,1690395457
314,severnoye,56.3491,78.3619,17.21,73,93,2.25,RU,1690395591
315,chonchi,-42.6128,-73.8092,10.07,83,100,1.2,CL,1690395440
316,merizo village,13.2658,144.6691,26.31,96,100,10.98,GU,1690395591
317,whangarei,-35.7317,174.3239,9.25,86,70,2.96,NZ,1690395591
318,east ballina,-28.8667,153.5833,10.44,70,21,1.86,AU,1690395592
319,sarangani,5.4033,125.4636,27.51,79,92,3.84,PH,1690395592
320,ivrindi,39.5839,27.4864,30.92,20,15,3.02,TR,1690395593
321,tidjikja,18.5564,-11.4271,37.48,23,71,6.06,MR,1690395593
322,meadow lake,34.8014,-106.5436,37.04,19,15,3.23,US,1690395594
323,hammerfest,70.6634,23.6821,15.25,63,40,5.66,NO,1690395594
324,papao,-17.75,-149.55,25.82,89,90,2.85,PF,1690395594
325,labytnangi,66.6572,66.4183,17.25,82,100,6.41,RU,1690395595
326,rzhyshchiv,49.9689,31.0463,20.37,89,99,1.54,UA,1690395595
327,kegums,56.7451,24.7244,16.3,76,70,1.99,LV,1690395595
328,alofi,-19.0595,-169.9187,18.94,94,62,0.51,NU,1690395596
329,veraval,20.9,70.3667,27.23,88,100,7.45,IN,1690395596
330,dalandzadgad,43.5708,104.425,23.87,31,46,1.48,MN,1690395596
331,ouargla,31.9493,5.325,46.04,7,0,1.54,DZ,1690395597
332,dryden,49.7833,-92.7503,25.16,65,20,4.12,CA,1690395597
333,kone,-21.0595,164.8658,14.49,74,15,2.37,NC,1690395597
334,imishli,39.8709,48.06,26.47,56,45,5.36,AZ,1690395597
335,trashi yangtse,27.6116,91.498,19.41,96,96,0.5,BT,1690395598
336,haiku-pauwela,20.9219,-156.3051,25.65,76,40,6.69,US,1690395598
337,puerto quijarro,-17.7833,-57.7667,36.27,20,0,2.65,BO,1690395598
338,san agustin de valle fertil,-30.6335,-67.4682,16.23,32,81,3.98,AR,1690395598
339,katsuura,35.1333,140.3,25.44,91,50,2.81,JP,1690395599
340,trenggalek,-8.05,111.7167,20.51,96,76,1.48,ID,1690395599
341,zeya,53.75,127.2667,17.29,72,18,1.29,RU,1690395599
342,nidadavole,16.9167,81.6667,24.23,93,99,7.94,IN,1690395600
343,boxberg,49.4814,9.6403,17.34,70,68,3.91,DE,1690395600
344,posse,-14.0931,-46.3694,30.89,20,1,1.84,BR,1690395601
345,bartlesville,36.7473,-95.9808,34.97,46,0,5.14,US,1690395510
346,arkhangel'sk,64.5401,40.5433,16.55,74,78,0.6,RU,1690395415
347,itati,-27.2704,-58.2446,18.52,70,100,3.49,AR,1690395602
348,kodinsk,58.6881,99.1844,15.97,85,48,1.4,RU,1690395602
349,taghazout,30.5426,-9.7112,25.43,56,3,6.76,MA,1690395603
350,mount pearl,47.5166,-52.7813,29.19,42,40,6.69,CA,1690395603
351,abong mbang,3.9833,13.1833,21.55,96,67,0.26,CM,1690395604
352,marka,1.7159,44.7717,24.5,82,38,7.63,SO,1690395604
353,kabwe,-14.4469,28.4464,15.88,55,19,2.4,ZM,1690395605
354,itupiranga,-5.1347,-49.3267,35.18,27,1,1.08,BR,1690395605
355,montmagny,48.9734,2.3469,23.13,48,0,6.17,FR,1690395605
356,camana,-16.6228,-72.7111,19.06,76,23,4.37,PE,1690395606
357,ocean city,39.2776,-74.5746,31.68,64,1,4.37,US,1690395606
358,laguna,38.421,-121.4238,33.9,48,0,5.66,US,1690395584
359,alice springs,-23.7,133.8833,12.75,67,100,0.51,AU,1690395607
360,bay city,43.5945,-83.8889,29.0,68,40,6.17,US,1690395607
361,la paz,-16.5,-68.15,14.99,21,20,5.14,BO,1690395607
362,ebermannstadt,49.7822,11.1811,16.97,82,96,2.29,DE,1690395611
363,les avirons,-21.2418,55.3394,19.05,88,100,2.06,RE,1690395611
